strategy,relay_count,tree_length,timestep
search,6,615.4492599011058,422
search,6,614.0309505250538,423
search,6,612.669892213651,424
search,6,611.3675848689172,425
search,6,610.1257700933717,426
search,6,608.9464663735386,427
search,6,607.8320098813764,428
search,6,606.7851018018264,429
search,6,605.8088632034801,430
search,6,604.9068985642622,431
search,6,604.0833691240073,432
search,6,603.123058499515,433
search,6,601.217486078973,434
search,6,599.2590211375234,435
search,6,597.3205294541904,436
search,5,595.353993329847,437
search,5,593.454696310479,438
search,5,591.5762217394052,439
search,5,589.7190318669565,440
search,5,587.8836921597051,441
search,5,586.0708924568453,442
search,5,584.2814733476613,443
None (Stable),40,594.5975033580238,444
None (Stable),40,594.1222274370461,445
None (Stable),40,594.0497056235474,446
None (Stable),40,594.3327619095036,447
None (Stable),40,592.9552807941192,448
None (Stable),40,591.9179481044266,449
None (Stable),40,591.2243804147928,450
search,5,564.0356664542473,451
None (Stable),40,585.8092724509298,452
None (Stable),40,585.9916000348722,453
None (Stable),40,586.5073605170609,454
None (Stable),40,587.3112070530684,455
None (Stable),40,585.185080631172,456
search,5,549.3499052283786,457
None (Stable),40,584.1722573294833,458
None (Stable),40,584.4422945247763,459
None (Stable),40,584.8739865373557,460
None (Stable),40,585.3866059728467,461
None (Stable),40,585.96617998439,462
None (Stable),40,586.6021598441686,463
None (Stable),40,586.1212901185443,464
None (Stable),40,585.5060309703362,465
None (Stable),40,584.9580141607001,466
None (Stable),40,584.4730329785332,467
None (Stable),40,584.0475077320227,468
